"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"MLLOF","Medallion Resources Ltd.","Canada","","CV:MDL","TSX Venture Exchange","No","Materials","$13,322,904","1,444,153","Analyze"
"MLNLF","Millennial Lithium Corp.","Canada","","CV:ML","TSX Venture Exchange","No","Materials","$263,112,666","29,861","Analyze"
"MLRKF","Millrock Resources Inc.","Canada","","CV:MRO","TSX Venture Exchange","No","Materials","$8,004,268","430,043","Analyze"
"MMEDF","Mind Medicine (MindMed) Inc.","Canada","","QF:NMED","Aequitas NEO Exchange (Lit Book)","No","Health Care","$2,030,227,808","21,960,647","Analyze"
"MMNFF","MedMen Enterprises Inc. Class B","Canada","","CF:MMEN","Canadian Securities Exchange","No","Health Care","$127,587,776","2,793,073","Analyze"
"MMRGF","Minaurum Gold Inc.","Canada","","CV:MGG","TSX Venture Exchange","No","Materials","$99,989,108","104,275","Analyze"
"MMX","Maverix Metals Inc.","Canada","","CT:MMX","Toronto Stock Exchange","Yes","Materials","$704,433,065","150,902","Analyze"
"MNDJF","Mandalay Resources Corporation","Canada","","CT:MND","Toronto Stock Exchange","No","Materials","$191,917,095","13,930","Analyze"
"MOGO","Mogo Finance Technology Inc.","Canada","","CT:MOGO","Toronto Stock Exchange","Yes","Financials","$386,788,545","953,330","Analyze"
"MPNGF","Meituan Dianping Ord Cl B","China","","HK:3690","Hong Kong Exchange","No","Consumer Discretionary","$153,762,187,670","0","Analyze"
"MPXOF","MPX International Corp.","Canada","","CF:MPXI","Canadian Securities Exchange","No","Unknown","$11,537,663","12,566","Analyze"
"MTA","Metalla Royalty & Streaming Ltd.","Canada","","CV:MTA","TSX Venture Exchange","Yes","Materials","$350,716,766","151,996","Analyze"
"MTSFF","Mitsui Fudosan Co Ltd","Japan","","JT:8801","Tokyo Stock Exchange","No","Real Estate","$23,895,678,188","0","Analyze"
"MURGF","Münchener Ruckversicherungs","Germany","Germany","GF:MUV2","Frankfurt Stock Exchange","Yes","Financials","$38,428,296,180","2","Analyze"
"MVMDF","Mountain Valley MD Holdings Inc.","Canada","","CF:MVMD","Canadian Securities Exchange","No","Health Care","$99,148,318","0","Analyze"
"NAK","Northern Dynasty Minerals Ltd.","Canada","","CT:NDM","Toronto Stock Exchange","Yes","Materials","$231,706,119","3,707,362","Analyze"
"NCLTF","Nitori Holdings Co Ltd","Japan","","JT:9843","Tokyo Stock Exchange","No","Consumer Discretionary","$22,131,083,256","458","Analyze"
"NDVAF","Indiva Ltd.","Canada","","CV:NDVA","TSX Venture Exchange","No","Unknown","$36,827,614","36,678","Analyze"
"NEM","Newmont Corporation","USA","USA","CT:NGT","Toronto Stock Exchange","No","Materials","$49,529,837,104","5,076,349","Analyze"
